Using device: cpu

==================== AAPL ====================
Day 1: Action: 0, Cash: 10000.00, Volume: 0, Price: 215.09
Day 2: Action: 0, Cash: 10000.00, Volume: 0, Price: 218.58
Day 3: Action: 0, Cash: 10000.00, Volume: 0, Price: 219.85
Day 4: Action: 0, Cash: 10000.00, Volume: 0, Price: 224.60
Day 5: Action: 1, Cash: 10000.00, Volume: 0, Price: 226.07
Day 6: Action: 2, Cash: 7739.28, Volume: 10, Price: 226.92
Day 7: Action: 0, Cash: 10008.53, Volume: 0, Price: 231.19
Day 8: Action: 0, Cash: 10008.53, Volume: 0, Price: 225.82
Day 9: Action: 1, Cash: 10008.53, Volume: 0, Price: 228.77
Day 10: Action: 0, Cash: 7720.83, Volume: 10, Price: 232.60
Day 11: Action: 0, Cash: 7720.83, Volume: 10, Price: 233.02
Day 12: Action: 0, Cash: 7720.83, Volume: 10, Price: 227.12
Day 13: Action: 0, Cash: 7720.83, Volume: 10, Price: 222.46
Day 14: Action: 0, Cash: 7720.83, Volume: 10, Price: 222.59
Day 15: Action: 0, Cash: 7720.83, Volume: 10, Price: 222.24
Day 16: Action: 0, Cash: 7720.83, Volume: 10, Price: 223.28
Day 17: Action: 2, Cash: 7720.83, Volume: 10, Price: 216.86
Day 18: Action: 2, Cash: 9889.45, Volume: 0, Price: 215.82
Day 19: Action: 0, Cash: 9889.45, Volume: 0, Price: 216.29
Day 20: Action: 0, Cash: 9889.45, Volume: 0, Price: 216.57
Day 21: Action: 0, Cash: 9889.45, Volume: 0, Price: 217.12
Day 22: Action: 0, Cash: 9889.45, Volume: 0, Price: 220.38
Day 23: Action: 0, Cash: 9889.45, Volume: 0, Price: 216.68
Day 24: Action: 0, Cash: 9889.45, Volume: 0, Price: 218.17
Day 25: Action: 0, Cash: 9889.45, Volume: 0, Price: 207.66
Day 26: Action: 0, Cash: 9889.45, Volume: 0, Price: 205.64
Day 27: Action: 2, Cash: 9889.45, Volume: 0, Price: 208.21
Day 28: Action: 0, Cash: 9889.45, Volume: 0, Price: 211.67
Day 29: Action: 0, Cash: 9889.45, Volume: 0, Price: 214.58
Day 30: Action: 0, Cash: 9889.45, Volume: 0, Price: 216.11
Day 31: Action: 0, Cash: 9889.45, Volume: 0, Price: 219.83
Day 32: Action: 0, Cash: 9889.45, Volume: 0, Price: 220.27
Day 33: Action: 0, Cash: 9889.45, Volume: 0, Price: 223.25
Day 34: Action: 0, Cash: 9889.45, Volume: 0, Price: 224.57
Day 35: Action: 0, Cash: 9889.45, Volume: 0, Price: 224.42
Day 36: Action: 0, Cash: 9889.45, Volume: 0, Price: 225.03
Day 37: Action: 0, Cash: 9889.45, Volume: 0, Price: 224.92
Day 38: Action: 0, Cash: 9889.45, Volume: 0, Price: 223.06
Day 39: Action: 0, Cash: 9889.45, Volume: 0, Price: 225.36
Day 40: Action: 0, Cash: 9889.45, Volume: 0, Price: 225.70
Day 41: Action: 0, Cash: 9889.45, Volume: 0, Price: 226.54
Day 42: Action: 0, Cash: 9889.45, Volume: 0, Price: 225.01
Day 43: Action: 0, Cash: 9889.45, Volume: 0, Price: 228.29
