Day 1: Action: 0, Cash: 10000.00, Volume: 0, Price: 173.00
Day 2: Action: 1, Cash: 10000.00, Volume: 0, Price: 173.70
Day 3: Action: 0, Cash: 8262.96, Volume: 10, Price: 175.63
Day 4: Action: 0, Cash: 8262.96, Volume: 10, Price: 176.90
Day 5: Action: 0, Cash: 8262.96, Volume: 10, Price: 174.52
Day 6: Action: 0, Cash: 8262.96, Volume: 10, Price: 175.39
Day 7: Action: 0, Cash: 8262.96, Volume: 10, Price: 176.94
Day 8: Action: 0, Cash: 8262.96, Volume: 10, Price: 178.30
Day 9: Action: 0, Cash: 8262.96, Volume: 10, Price: 175.50
Day 10: Action: 0, Cash: 8262.96, Volume: 10, Price: 177.12
Day 11: Action: 0, Cash: 8262.96, Volume: 10, Price: 177.53
Day 12: Action: 0, Cash: 8262.96, Volume: 10, Price: 175.21
Day 13: Action: 0, Cash: 8262.96, Volume: 10, Price: 176.46
Day 14: Action: 0, Cash: 8262.96, Volume: 10, Price: 179.00
Day 15: Action: 2, Cash: 8262.96, Volume: 10, Price: 179.52
Day 16: Action: 0, Cash: 10058.18, Volume: 0, Price: 184.28
Day 17: Action: 0, Cash: 10058.18, Volume: 0, Price: 184.07
Day 18: Action: 1, Cash: 10058.18, Volume: 0, Price: 185.55
Day 19: Action: 0, Cash: 8202.69, Volume: 10, Price: 182.13
Day 20: Action: 0, Cash: 8202.69, Volume: 10, Price: 183.20
Day 21: Action: 0, Cash: 8202.69, Volume: 10, Price: 185.30
Day 22: Action: 0, Cash: 8202.69, Volume: 10, Price: 186.08
Day 23: Action: 2, Cash: 8202.69, Volume: 10, Price: 190.61
Day 24: Action: 0, Cash: 10108.82, Volume: 0, Price: 189.14
Day 25: Action: 0, Cash: 10108.82, Volume: 0, Price: 189.10
Day 26: Action: 0, Cash: 10108.82, Volume: 0, Price: 191.31
Day 27: Action: 0, Cash: 10108.82, Volume: 0, Price: 185.99
Day 28: Action: 0, Cash: 10108.82, Volume: 0, Price: 185.47
Day 29: Action: 1, Cash: 10108.82, Volume: 0, Price: 186.87
Day 30: Action: 0, Cash: 8240.12, Volume: 10, Price: 184.20
Day 31: Action: 0, Cash: 8240.12, Volume: 10, Price: 181.34
Day 32: Action: 2, Cash: 8240.12, Volume: 10, Price: 177.96
Day 33: Action: 0, Cash: 10019.75, Volume: 0, Price: 178.13
Day 34: Action: 0, Cash: 10019.75, Volume: 0, Price: 182.06
Day 35: Action: 1, Cash: 10019.75, Volume: 0, Price: 182.31
Day 36: Action: 0, Cash: 8196.63, Volume: 10, Price: 173.15
Day 37: Action: 0, Cash: 8196.63, Volume: 10, Price: 167.97
Day 38: Action: 0, Cash: 8196.63, Volume: 10, Price: 167.50
Day 39: Action: 2, Cash: 8196.63, Volume: 10, Price: 169.93
Day 40: Action: 1, Cash: 9895.93, Volume: 0, Price: 170.65
Day 41: Action: 0, Cash: 8189.38, Volume: 10, Price: 171.94
Day 42: Action: 0, Cash: 8189.38, Volume: 10, Price: 171.24
Day 43: Action: 0, Cash: 8189.38, Volume: 10, Price: 167.22
Day 44: Action: 0, Cash: 8189.38, Volume: 10, Price: 159.51
Day 45: Action: 0, Cash: 8189.38, Volume: 10, Price: 159.41
Day 46: Action: 0, Cash: 8189.38, Volume: 10, Price: 159.62
Day 47: Action: 2, Cash: 8189.38, Volume: 10, Price: 162.69
Day 48: Action: 1, Cash: 9816.29, Volume: 0, Price: 164.23
Day 49: Action: 0, Cash: 8173.99, Volume: 10, Price: 162.80
Day 50: Action: 0, Cash: 8173.99, Volume: 10, Price: 164.77
Day 51: Action: 2, Cash: 8173.99, Volume: 10, Price: 160.89
Day 52: Action: 0, Cash: 9782.92, Volume: 0, Price: 162.03
Day 53: Action: 0, Cash: 9782.92, Volume: 0, Price: 163.58
Day 54: Action: 0, Cash: 9782.92, Volume: 0, Price: 167.22
Day 55: Action: 1, Cash: 9782.92, Volume: 0, Price: 167.77
Day 56: Action: 0, Cash: 8105.18, Volume: 10, Price: 166.45
Day 57: Action: 0, Cash: 8105.18, Volume: 10, Price: 164.33
Day 58: Action: 0, Cash: 8105.18, Volume: 10, Price: 166.26
Day 59: Action: 2, Cash: 8105.18, Volume: 10, Price: 166.75
Day 60: Action: 0, Cash: 9772.70, Volume: 0, Price: 165.21
Day 61: Action: 0, Cash: 9772.70, Volume: 0, Price: 163.35
Day 62: Action: 1, Cash: 9772.70, Volume: 0, Price: 162.25
Day 63: Action: 0, Cash: 8150.16, Volume: 10, Price: 163.95
Day 64: Action: 0, Cash: 8150.16, Volume: 10, Price: 157.50
Day 65: Action: 0, Cash: 8150.16, Volume: 10, Price: 156.70
Day 66: Action: 0, Cash: 8150.16, Volume: 10, Price: 157.49
Day 67: Action: 0, Cash: 8150.16, Volume: 10, Price: 151.06
Day 68: Action: 0, Cash: 8150.16, Volume: 10, Price: 148.69
Day 69: Action: 2, Cash: 8150.16, Volume: 10, Price: 149.15
Day 70: Action: 1, Cash: 9641.70, Volume: 0, Price: 151.28
Day 71: Action: 0, Cash: 8128.88, Volume: 10, Price: 154.65
