
==================== AAPL ====================
Day 1: Action: 0, Cash: 2500.00, Volume: 0, Price: 215.09
Day 2: Action: 0, Cash: 2500.00, Volume: 0, Price: 218.58
Day 3: Action: 1, Cash: 2500.00, Volume: 0, Price: 219.85
Day 4: Action: 0, Cash: 301.50, Volume: 10, Price: 224.60
Day 5: Action: 0, Cash: 301.50, Volume: 10, Price: 226.07
Day 6: Action: 0, Cash: 301.50, Volume: 10, Price: 226.92
Day 7: Action: 2, Cash: 301.50, Volume: 10, Price: 231.19
Day 8: Action: 0, Cash: 2613.42, Volume: 0, Price: 225.82
Day 9: Action: 1, Cash: 2613.42, Volume: 0, Price: 228.77
Day 10: Action: 2, Cash: 325.72, Volume: 10, Price: 232.60
Day 11: Action: 1, Cash: 2651.73, Volume: 0, Price: 233.02
Day 12: Action: 0, Cash: 321.55, Volume: 10, Price: 227.12
Day 13: Action: 0, Cash: 321.55, Volume: 10, Price: 222.46
Day 14: Action: 0, Cash: 321.55, Volume: 10, Price: 222.59
Day 15: Action: 0, Cash: 321.55, Volume: 10, Price: 222.24
Day 16: Action: 0, Cash: 321.55, Volume: 10, Price: 223.28
Day 17: Action: 0, Cash: 321.55, Volume: 10, Price: 216.86
Day 18: Action: 2, Cash: 321.55, Volume: 10, Price: 215.82
Day 19: Action: 0, Cash: 2479.76, Volume: 0, Price: 216.29
Day 20: Action: 0, Cash: 2479.76, Volume: 0, Price: 216.57
Day 21: Action: 1, Cash: 2479.76, Volume: 0, Price: 217.12
Day 22: Action: 0, Cash: 308.55, Volume: 10, Price: 220.38
Day 23: Action: 2, Cash: 308.55, Volume: 10, Price: 216.68
Day 24: Action: 1, Cash: 2475.39, Volume: 0, Price: 218.17
Day 25: Action: 0, Cash: 293.66, Volume: 10, Price: 207.66
Day 26: Action: 0, Cash: 293.66, Volume: 10, Price: 205.64
Day 27: Action: 2, Cash: 293.66, Volume: 10, Price: 208.21
Day 28: Action: 0, Cash: 2375.76, Volume: 0, Price: 211.67
Day 29: Action: 1, Cash: 2375.76, Volume: 0, Price: 214.58
Day 30: Action: 0, Cash: 229.96, Volume: 10, Price: 216.11
Day 31: Action: 0, Cash: 229.96, Volume: 10, Price: 219.83
Day 32: Action: 2, Cash: 229.96, Volume: 10, Price: 220.27
Day 33: Action: 0, Cash: 2432.69, Volume: 0, Price: 223.25
Day 34: Action: 0, Cash: 2432.69, Volume: 0, Price: 224.57
Day 35: Action: 0, Cash: 2432.69, Volume: 0, Price: 224.42
Day 36: Action: 1, Cash: 2432.69, Volume: 0, Price: 225.03
Day 37: Action: 2, Cash: 182.37, Volume: 10.0, Price: 224.92
Day 38: Action: 1, Cash: 2431.59, Volume: 0.0, Price: 223.06
Day 39: Action: 0, Cash: 200.95, Volume: 10.0, Price: 225.36
Day 40: Action: 0, Cash: 200.95, Volume: 10.0, Price: 225.70
Day 41: Action: 0, Cash: 200.95, Volume: 10.0, Price: 226.54
Day 42: Action: 0, Cash: 200.95, Volume: 10.0, Price: 225.01
Day 43: Action: 0, Cash: 200.95, Volume: 10.0, Price: 228.29
Day 44: Action: 0, Cash: 200.95, Volume: 10.0, Price: 227.51
Day 45: Action: 0, Cash: 200.95, Volume: 10.0, Price: 221.32
Day 46: Action: 2, Cash: 200.95, Volume: 10.0, Price: 219.41
Day 47: Action: 0, Cash: 2395.03, Volume: 0.0, Price: 220.93
Day 48: Action: 1, Cash: 2395.03, Volume: 0.0, Price: 219.38
Day 49: Action: 2, Cash: 201.25, Volume: 10.0, Price: 219.47
Day 50: Action: 0, Cash: 2395.93, Volume: 0.0, Price: 218.67
Day 51: Action: 0, Cash: 2395.93, Volume: 0.0, Price: 221.21
Day 52: Action: 0, Cash: 2395.93, Volume: 0.0, Price: 221.32
Day 53: Action: 1, Cash: 2395.93, Volume: 0.0, Price: 221.05
Day 54: Action: 0, Cash: 185.45, Volume: 10.0, Price: 214.91
Day 55: Action: 0, Cash: 185.45, Volume: 10.0, Price: 215.38
Day 56: Action: 0, Cash: 185.45, Volume: 10.0, Price: 219.25
Day 57: Action: 0, Cash: 185.45, Volume: 10.0, Price: 227.38
Day 58: Action: 0, Cash: 185.45, Volume: 10.0, Price: 226.71
Day 59: Action: 0, Cash: 185.45, Volume: 10.0, Price: 224.99
Day 60: Action: 0, Cash: 185.45, Volume: 10.0, Price: 225.89
Day 61: Action: 0, Cash: 185.45, Volume: 10.0, Price: 224.89
Day 62: Action: 0, Cash: 185.45, Volume: 10.0, Price: 226.04
Day 63: Action: 0, Cash: 185.45, Volume: 10.0, Price: 226.30
Day 64: Action: 2, Cash: 185.45, Volume: 10.0, Price: 231.48
Day 65: Action: 0, Cash: 2500.24, Volume: 0.0, Price: 224.73
Day 66: Action: 1, Cash: 2500.24, Volume: 0.0, Price: 225.30
Day 67: Action: 0, Cash: 247.24, Volume: 10.0, Price: 224.20
Day 68: Action: 0, Cash: 247.24, Volume: 10.0, Price: 225.32
Day 69: Action: 0, Cash: 247.24, Volume: 10.0, Price: 220.24
Day 70: Action: 2, Cash: 247.24, Volume: 10.0, Price: 224.30
Day 71: Action: 0, Cash: 2490.21, Volume: 0.0, Price: 228.04
Day 72: Action: 1, Cash: 2490.21, Volume: 0.0, Price: 227.55
Day 73: Action: 2, Cash: 214.76, Volume: 10.0, Price: 226.07
Day 74: Action: 0, Cash: 2475.41, Volume: 0.0, Price: 229.79
Day 75: Action: 0, Cash: 2475.41, Volume: 0.0, Price: 232.32
Day 76: Action: 0, Cash: 2475.41, Volume: 0.0, Price: 230.27
Day 77: Action: 0, Cash: 2475.41, Volume: 0.0, Price: 230.63
Day 78: Action: 0, Cash: 2475.41, Volume: 0.0, Price: 233.47
Day 79: Action: 0, Cash: 2475.41, Volume: 0.0, Price: 234.94
Day 80: Action: 0, Cash: 2475.41, Volume: 0.0, Price: 234.32
Day 81: Action: 0, Cash: 2475.41, Volume: 0.0, Price: 229.25
Day 82: Action: 0, Cash: 2475.41, Volume: 0.0, Price: 229.07
Day 83: Action: 0, Cash: 2475.41, Volume: 0.0, Price: 229.90
Day 84: Action: 1, Cash: 2475.41, Volume: 0.0, Price: 231.88
Day 85: Action: 0, Cash: 156.64, Volume: 10.0, Price: 232.15
Day 86: Action: 0, Cash: 156.64, Volume: 10.0, Price: 228.60
Day 87: Action: 0, Cash: 156.64, Volume: 10.0, Price: 224.44
Day 88: Action: 2, Cash: 156.64, Volume: 10.0, Price: 221.46
Day 89: Action: 0, Cash: 2371.19, Volume: 0.0, Price: 220.56
Day 90: Action: 1, Cash: 2371.19, Volume: 0.0, Price: 221.99
Day 91: Action: 0, Cash: 151.27, Volume: 10.0, Price: 221.27
Day 92: Action: 0, Cash: 151.27, Volume: 10.0, Price: 226.00
Day 93: Action: 0, Cash: 151.27, Volume: 10.0, Price: 225.73
Day 94: Action: 0, Cash: 151.27, Volume: 10.0, Price: 223.01
Day 95: Action: 0, Cash: 151.27, Volume: 10.0, Price: 223.01
Day 96: Action: 2, Cash: 151.27, Volume: 10.0, Price: 223.90
Day 97: Action: 1, Cash: 2390.24, Volume: 0.0, Price: 226.98
Day 98: Action: 2, Cash: 120.44, Volume: 10.0, Price: 223.78
Day 99: Action: 1, Cash: 2358.22, Volume: 0.0, Price: 226.78
Day 100: Action: 0, Cash: 90.41, Volume: 10.0, Price: 227.04
Day 101: Action: 0, Cash: 90.41, Volume: 10.0, Price: 227.76
Day 102: Action: 0, Cash: 90.41, Volume: 10.0, Price: 227.28
Day 103: Action: 0, Cash: 90.41, Volume: 10.0, Price: 228.62
Day 104: Action: 2, Cash: 90.41, Volume: 10.0, Price: 231.60
Day 105: Action: 1, Cash: 2406.45, Volume: 0.0, Price: 233.78
Day 106: Action: 0, Cash: 68.63, Volume: 10.0, Price: 233.65
Day 107: Action: 0, Cash: 68.63, Volume: 10.0, Price: 236.04
Day 108: Action: 0, Cash: 68.63, Volume: 10.0, Price: 238.29
Day 109: Action: 0, Cash: 68.63, Volume: 10.0, Price: 241.33
Day 110: Action: 0, Cash: 68.63, Volume: 10.0, Price: 241.69
Day 111: Action: 0, Cash: 68.63, Volume: 10.0, Price: 241.72
Day 112: Action: 0, Cash: 68.63, Volume: 10.0, Price: 241.52
Day 113: Action: 0, Cash: 68.63, Volume: 10.0, Price: 245.41
Day 114: Action: 0, Cash: 68.63, Volume: 10.0, Price: 246.42
Day 115: Action: 0, Cash: 68.63, Volume: 10.0, Price: 245.15
Day 116: Action: 0, Cash: 68.63, Volume: 10.0, Price: 246.61
Day 117: Action: 0, Cash: 68.63, Volume: 10.0, Price: 246.78
Day 118: Action: 2, Cash: 68.63, Volume: 10.0, Price: 249.68
Day 119: Action: 0, Cash: 2565.39, Volume: 0.0, Price: 252.10
Day 120: Action: 1, Cash: 2565.39, Volume: 0.0, Price: 246.70
Day 121: Action: 2, Cash: 98.36, Volume: 10.0, Price: 248.43
Day 122: Action: 1, Cash: 2582.69, Volume: 0.0, Price: 253.11
Day 123: Action: 2, Cash: 51.62, Volume: 10.0, Price: 253.88
Day 124: Action: 1, Cash: 2590.45, Volume: 0.0, Price: 256.80
Day 125: Action: 2, Cash: 22.48, Volume: 10.0, Price: 257.61
Day 126: Action: 1, Cash: 2598.60, Volume: 0.0, Price: 254.20
Day 127: Action: 2, Cash: 56.59, Volume: 10.0, Price: 250.83
Day 128: Action: 0, Cash: 2564.89, Volume: 0.0, Price: 249.06
Day 129: Action: 1, Cash: 2564.89, Volume: 0.0, Price: 242.53
Day 130: Action: 2, Cash: 139.64, Volume: 10.0, Price: 242.04
Day 131: Action: 0, Cash: 2560.02, Volume: 0.0, Price: 243.67
Day 132: Action: 0, Cash: 2560.02, Volume: 0.0, Price: 240.89
Day 133: Action: 0, Cash: 2560.02, Volume: 0.0, Price: 241.38
Day 134: Action: 1, Cash: 2560.02, Volume: 0.0, Price: 235.56
Day 135: Action: 0, Cash: 204.38, Volume: 10.0, Price: 233.13
Day 136: Action: 0, Cash: 204.38, Volume: 10.0, Price: 232.01
Day 137: Action: 0, Cash: 204.38, Volume: 10.0, Price: 236.58
Day 138: Action: 0, Cash: 204.38, Volume: 10.0, Price: 227.02
Day 139: Action: 2, Cash: 204.38, Volume: 10.0, Price: 228.73
Day 140: Action: 1, Cash: 2491.69, Volume: 0.0, Price: 221.43
Day 141: Action: 2, Cash: 277.38, Volume: 10.0, Price: 222.61
Day 142: Action: 1, Cash: 2503.52, Volume: 0.0, Price: 222.44
Day 143: Action: 0, Cash: 279.08, Volume: 10.0, Price: 221.57
Day 144: Action: 2, Cash: 279.08, Volume: 10.0, Price: 228.61
Day 145: Action: 0, Cash: 2565.19, Volume: 0.0, Price: 236.97
Day 146: Action: 0, Cash: 2565.19, Volume: 0.0, Price: 238.06
Day 147: Action: 1, Cash: 2565.19, Volume: 0.0, Price: 236.30
Day 148: Action: 0, Cash: 202.19, Volume: 10.0, Price: 234.72
Day 149: Action: 2, Cash: 202.19, Volume: 10.0, Price: 226.77
